Assumption,Value
Planning Horizon,14 Days Ahead
Monthly Workforce Reset,Enabled at the start of every month
Default Workforce,11
Hiring Lead Time,7 Days
Hiring Trigger,Gap >= 1 for 2 or more consecutive days
Overtime Rule,Same-day gap of 1 or 2 workers; temporary coverage
Hybrid Rule,Same-day isolated gap > 2 workers
Hiring Cost Basis,One month salary per newly hired worker
Overtime Cost Basis,Workforce gap x overtime hours x hourly rate x 1.5
Working Hours Per Day,8
Maximum Overtime Hours Per Worker,2
Overtime Pay Multiplier,1.5
Pending Hire Handling,Pending hires scheduled for future dates are retained across month reset; hires are processed FIFO
